jdls,j,m,a,i,polluant1,polluant2,polluant3
vendredi,21,11,2003,5,PM10,,
samedi,22,11,2003,3,NO2,PM10,
dimanche,23,11,2003,4,PM10,,
lundi,24,11,2003,4,PM10,,
mardi,25,11,2003,3,NO2,,
mercredi,26,11,2003,3,NO2,,
jeudi,27,11,2003,4,NO2,PM10,
vendredi,28,11,2003,3,NO2,PM10,
samedi,29,11,2003,2,NO2,O3,PM10
dimanche,30,11,2003,3,NO2,,
lundi,1,12,2003,2,NO2,O3,PM10
mardi,2,12,2003,3,NO2,,
mercredi,3,12,2003,3,NO2,PM10,
jeudi,4,12,2003,4,PM10,,
vendredi,5,12,2003,3,PM10,,
samedi,6,12,2003,3,NO2,PM10,
dimanche,7,12,2003,2,NO2,O3,PM10
lundi,8,12,2003,4,PM10,,
mardi,9,12,2003,5,PM10,,
mercredi,10,12,2003,6,PM10,,
jeudi,11,12,2003,3,NO2,,
vendredi,12,12,2003,3,NO2,,
samedi,13,12,2003,2,NO2,O3,
dimanche,14,12,2003,3,O3,,
lundi,15,12,2003,3,NO2,,
mardi,16,12,2003,5,NO2,PM10,
mercredi,17,12,2003,3,NO2,PM10,
jeudi,18,12,2003,5,PM10,,
vendredi,19,12,2003,4,NO2,PM10,
samedi,20,12,2003,2,NO2,O3,
dimanche,21,12,2003,3,NO2,O3,
lundi,22,12,2003,3,NO2,,
mardi,23,12,2003,3,NO2,,
mercredi,24,12,2003,3,NO2,PM10,
jeudi,25,12,2003,3,O3,,
vendredi,26,12,2003,2,NO2,O3,PM10
samedi,27,12,2003,3,O3,,
dimanche,28,12,2003,3,O3,,
lundi,29,12,2003,3,NO2,,
mardi,30,12,2003,3,NO2,PM10,
mercredi,31,12,2003,3,NO2,PM10,
jeudi,1,1,2004,3,NO2,,
vendredi,2,1,2004,2,NO2,O3,PM10
samedi,3,1,2004,3,NO2,PM10,
dimanche,4,1,2004,4,PM10,,
lundi,5,1,2004,3,PM10,,
mardi,6,1,2004,3,NO2,,
mercredi,7,1,2004,3,NO2,PM10,
jeudi,8,1,2004,3,NO2,,
vendredi,9,1,2004,3,NO2,O3,
samedi,10,1,2004,3,NO2,PM10,
dimanche,11,1,2004,3,O3,,
lundi,12,1,2004,3,NO2,O3,
mardi,13,1,2004,3,NO2,O3,
mercredi,14,1,2004,3,NO2,O3,
jeudi,15,1,2004,3,NO2,O3,
vendredi,16,1,2004,3,NO2,O3,
samedi,17,1,2004,3,NO2,,
dimanche,18,1,2004,3,NO2,,
lundi,19,1,2004,3,NO2,,
mardi,20,1,2004,3,NO2,,
mercredi,21,1,2004,3,NO2,,
jeudi,22,1,2004,3,NO2,,
vendredi,23,1,2004,3,NO2,,
samedi,24,1,2004,3,NO2,,
dimanche,25,1,2004,3,NO2,O3,
lundi,26,1,2004,2,NO2,O3,PM10
mardi,27,1,2004,3,NO2,,
mercredi,28,1,2004,3,NO2,O3,
jeudi,29,1,2004,3,NO2,O3,
vendredi,30,1,2004,3,NO2,PM10,
samedi,31,1,2004,3,O3,,
dimanche,1,2,2004,3,O3,PM10,
lundi,2,2,2004,3,NO2,O3,PM10
mardi,3,2,2004,3,NO2,PM10,
mercredi,4,2,2004,3,NO2,PM10,
jeudi,5,2,2004,3,NO2,PM10,
vendredi,6,2,2004,3,NO2,O3,PM10
samedi,7,2,2004,3,O3,,
dimanche,8,2,2004,3,O3,,
lundi,9,2,2004,4,NO2,,
mardi,10,2,2004,6,NO2,,
mercredi,11,2,2004,3,NO2,PM10,
jeudi,12,2,2004,3,NO2,PM10,
vendredi,13,2,2004,4,NO2,PM10,
samedi,14,2,2004,3,NO2,PM10,
dimanche,15,2,2004,3,NO2,PM10,
lundi,16,2,2004,4,PM10,,
mardi,17,2,2004,3,NO2,PM10,
mercredi,18,2,2004,3,NO2,O3,PM10
jeudi,19,2,2004,3,O3,,
vendredi,20,2,2004,3,NO2,,
samedi,21,2,2004,3,NO2,PM10,
dimanche,22,2,2004,4,PM10,,
lundi,23,2,2004,3,NO2,O3,
mardi,24,2,2004,4,NO2,,
mercredi,25,2,2004,3,NO2,O3,
jeudi,26,2,2004,4,NO2,,
vendredi,27,2,2004,4,NO2,,
samedi,28,2,2004,3,NO2,O3,PM10
dimanche,29,2,2004,3,NO2,O3,PM10
lundi,1,3,2004,4,PM10,,
mardi,2,3,2004,5,NO2,,
mercredi,3,3,2004,6,NO2,,
jeudi,4,3,2004,4,NO2,,
vendredi,5,3,2004,3,NO2,,
samedi,6,3,2004,3,NO2,PM10,
dimanche,7,3,2004,3,NO2,O3,
lundi,8,3,2004,3,NO2,O3,PM10
mardi,9,3,2004,3,NO2,O3,
mercredi,10,3,2004,3,NO2,PM10,
jeudi,11,3,2004,4,PM10,,
vendredi,12,3,2004,3,NO2,PM10,
samedi,13,3,2004,3,NO2,O3,
dimanche,14,3,2004,4,O3,,
lundi,15,3,2004,3,NO2,O3,
mardi,16,3,2004,4,NO2,O3,
mercredi,17,3,2004,5,NO2,PM10,
jeudi,18,3,2004,5,PM10,,
vendredi,19,3,2004,3,O3,,
samedi,20,3,2004,3,O3,,
dimanche,21,3,2004,4,O3,,
lundi,22,3,2004,3,NO2,O3,
mardi,23,3,2004,3,NO2,O3,
mercredi,24,3,2004,3,NO2,O3,
jeudi,25,3,2004,3,NO2,O3,
vendredi,26,3,2004,3,NO2,O3,PM10
samedi,27,3,2004,4,NO2,O3,
dimanche,28,3,2004,4,NO2,O3,
lundi,29,3,2004,5,O3,,
mardi,30,3,2004,4,NO2,O3,
mercredi,31,3,2004,4,NO2,O3,
jeudi,1,4,2004,5,O3,,
vendredi,2,4,2004,4,NO2,O3,
samedi,3,4,2004,4,O3,,
dimanche,4,4,2004,4,O3,,
lundi,5,4,2004,4,O3,,
mardi,6,4,2004,4,O3,,
mercredi,7,4,2004,3,NO2,O3,
jeudi,8,4,2004,4,O3,,
vendredi,9,4,2004,3,NO2,O3,
samedi,10,4,2004,5,O3,,
dimanche,11,4,2004,4,O3,,
lundi,12,4,2004,5,O3,,
mardi,13,4,2004,3,NO2,O3,PM10
mercredi,14,4,2004,4,NO2,,
jeudi,15,4,2004,4,NO2,O3,PM10
vendredi,16,4,2004,5,NO2,O3,
samedi,17,4,2004,4,O3,,
dimanche,18,4,2004,4,O3,,
lundi,19,4,2004,4,O3,,
mardi,20,4,2004,3,NO2,O3,
mercredi,21,4,2004,4,O3,,
jeudi,22,4,2004,4,O3,,
vendredi,23,4,2004,4,O3,,
samedi,24,4,2004,4,O3,,
dimanche,25,4,2004,5,O3,,
lundi,26,4,2004,5,O3,,
mardi,27,4,2004,5,O3,,
mercredi,28,4,2004,4,NO2,O3,
jeudi,29,4,2004,4,O3,,
vendredi,30,4,2004,4,O3,,
samedi,1,5,2004,4,O3,,
dimanche,2,5,2004,4,O3,,
lundi,3,5,2004,5,O3,,
mardi,4,5,2004,3,O3,,
mercredi,5,5,2004,3,NO2,O3,
jeudi,6,5,2004,3,NO2,O3,
vendredi,7,5,2004,3,O3,,
samedi,8,5,2004,3,O3,,
dimanche,9,5,2004,3,O3,,
lundi,10,5,2004,3,NO2,PM10,
mardi,11,5,2004,4,O3,,
mercredi,12,5,2004,4,O3,,
jeudi,13,5,2004,3,O3,PM10,
vendredi,14,5,2004,4,O3,,
samedi,15,5,2004,4,O3,,
dimanche,16,5,2004,4,O3,,
lundi,17,5,2004,5,O3,,
mardi,18,5,2004,6,O3,,
mercredi,19,5,2004,6,O3,,
jeudi,20,5,2004,5,O3,,
vendredi,21,5,2004,3,O3,PM10,
samedi,22,5,2004,4,O3,,
dimanche,23,5,2004,4,O3,,
lundi,24,5,2004,4,O3,,
mardi,25,5,2004,5,O3,,
mercredi,26,5,2004,4,NO2,O3,
jeudi,27,5,2004,5,O3,,
vendredi,28,5,2004,5,O3,,
samedi,29,5,2004,6,O3,,
dimanche,30,5,2004,4,O3,,
lundi,31,5,2004,4,O3,,
mardi,1,6,2004,2,NO2,O3,PM10
mercredi,2,6,2004,4,O3,,
jeudi,3,6,2004,4,O3,,
vendredi,4,6,2004,3,NO2,O3,PM10
samedi,5,6,2004,4,O3,,
dimanche,6,6,2004,4,O3,,
lundi,7,6,2004,5,O3,,
mardi,8,6,2004,6,O3,,
mercredi,9,6,2004,7,O3,,
jeudi,10,6,2004,5,O3,,
vendredi,11,6,2004,3,O3,,
samedi,12,6,2004,3,O3,,
dimanche,13,6,2004,4,O3,,
lundi,14,6,2004,5,O3,,
mardi,15,6,2004,5,O3,,
mercredi,16,6,2004,4,O3,,
jeudi,17,6,2004,3,NO2,O3,PM10
vendredi,18,6,2004,3,O3,,
samedi,19,6,2004,4,O3,,
dimanche,20,6,2004,4,O3,,
lundi,21,6,2004,3,O3,,
mardi,22,6,2004,3,O3,,
mercredi,23,6,2004,4,O3,,
jeudi,24,6,2004,3,O3,,
vendredi,25,6,2004,4,O3,,
samedi,26,6,2004,4,O3,,
dimanche,27,6,2004,4,O3,,
lundi,28,6,2004,4,O3,,
mardi,29,6,2004,5,O3,,
mercredi,30,6,2004,5,O3,,
jeudi,1,7,2004,3,O3,,
vendredi,2,7,2004,3,O3,,
samedi,3,7,2004,3,O3,,
dimanche,4,7,2004,3,NO2,O3,
lundi,5,7,2004,4,O3,,
mardi,6,7,2004,4,O3,,
mercredi,7,7,2004,4,O3,,
jeudi,8,7,2004,3,O3,,
vendredi,9,7,2004,3,O3,,
samedi,10,7,2004,3,NO2,O3,
dimanche,11,7,2004,3,O3,,
lundi,12,7,2004,3,O3,PM10,
mardi,13,7,2004,4,O3,,
mercredi,14,7,2004,4,O3,,
jeudi,15,7,2004,2,NO2,O3,PM10
vendredi,16,7,2004,4,O3,,
samedi,17,7,2004,5,O3,,
dimanche,18,7,2004,3,O3,,
lundi,19,7,2004,4,O3,,
mardi,20,7,2004,4,O3,,
mercredi,21,7,2004,4,O3,,
jeudi,22,7,2004,6,O3,,
vendredi,23,7,2004,4,O3,PM10,
samedi,24,7,2004,5,O3,,
dimanche,25,7,2004,5,O3,,
lundi,26,7,2004,3,O3,PM10,
mardi,27,7,2004,5,O3,,
mercredi,28,7,2004,6,O3,,
jeudi,29,7,2004,8,O3,,
vendredi,30,7,2004,6,O3,,
samedi,31,7,2004,6,O3,,
dimanche,1,8,2004,6,O3,,
lundi,2,8,2004,7,O3,,
mardi,3,8,2004,6,O3,,
mercredi,4,8,2004,6,O3,,
jeudi,5,8,2004,4,PM10,,
vendredi,6,8,2004,5,O3,,
samedi,7,8,2004,6,O3,,
dimanche,8,8,2004,6,O3,,
lundi,9,8,2004,5,O3,,
mardi,10,8,2004,4,O3,,
mercredi,11,8,2004,5,O3,,
jeudi,12,8,2004,4,O3,,
vendredi,13,8,2004,3,O3,,
samedi,14,8,2004,4,O3,,
dimanche,15,8,2004,3,O3,,
lundi,16,8,2004,3,O3,,
mardi,17,8,2004,3,O3,,
mercredi,18,8,2004,3,O3,,
jeudi,19,8,2004,3,O3,,
vendredi,20,8,2004,3,O3,,
samedi,21,8,2004,3,O3,,
dimanche,22,8,2004,4,O3,,
lundi,23,8,2004,4,O3,,
mardi,24,8,2004,3,O3,,
mercredi,25,8,2004,3,O3,,
jeudi,26,8,2004,3,O3,,
vendredi,27,8,2004,3,O3,,
samedi,28,8,2004,3,O3,,
dimanche,29,8,2004,3,O3,,
lundi,30,8,2004,3,O3,,
mardi,31,8,2004,3,NO2,O3,PM10
mercredi,1,9,2004,5,O3,,
jeudi,2,9,2004,5,O3,,
vendredi,3,9,2004,5,NO2,O3,
samedi,4,9,2004,6,O3,,
dimanche,5,9,2004,6,O3,,
lundi,6,9,2004,5,O3,,
mardi,7,9,2004,5,O3,,
mercredi,8,9,2004,6,O3,,
jeudi,9,9,2004,5,O3,,
vendredi,10,9,2004,4,O3,,
samedi,11,9,2004,4,O3,,
dimanche,12,9,2004,3,O3,,
lundi,13,9,2004,3,O3,,
mardi,14,9,2004,3,O3,,
mercredi,15,9,2004,3,NO2,O3,
jeudi,16,9,2004,4,NO2,,
vendredi,17,9,2004,4,NO2,O3,
samedi,18,9,2004,4,O3,,
dimanche,19,9,2004,3,O3,,
lundi,20,9,2004,3,NO2,O3,
mardi,21,9,2004,3,O3,PM10,
mercredi,22,9,2004,3,O3,PM10,
jeudi,23,9,2004,2,NO2,O3,
vendredi,24,9,2004,3,O3,,
samedi,25,9,2004,3,O3,,
dimanche,26,9,2004,3,O3,,
lundi,27,9,2004,2,NO2,O3,PM10
mardi,28,9,2004,2,NO2,PM10,
mercredi,29,9,2004,3,PM10,,
jeudi,30,9,2004,3,NO2,PM10,
vendredi,1,10,2004,3,NO2,PM10,
samedi,2,10,2004,3,NO2,O3,PM10
dimanche,3,10,2004,3,NO2,O3,PM10
lundi,4,10,2004,4,NO2,O3,PM10
mardi,5,10,2004,3,NO2,O3,
mercredi,6,10,2004,3,NO2,O3,
jeudi,7,10,2004,4,NO2,,
vendredi,8,10,2004,3,NO2,PM10,
samedi,9,10,2004,2,NO2,PM10,
dimanche,10,10,2004,2,O3,PM10,
lundi,11,10,2004,2,NO2,O3,PM10
mardi,12,10,2004,3,NO2,O3,
mercredi,13,10,2004,3,O3,,
jeudi,14,10,2004,3,O3,,
vendredi,15,10,2004,3,NO2,,
samedi,16,10,2004,3,NO2,,
dimanche,17,10,2004,2,NO2,O3,PM10
lundi,18,10,2004,3,NO2,PM10,
mardi,19,10,2004,3,NO2,PM10,
mercredi,20,10,2004,3,NO2,O3,
jeudi,21,10,2004,3,NO2,O3,
vendredi,22,10,2004,3,NO2,O3,PM10
samedi,23,10,2004,3,O3,,
dimanche,24,10,2004,3,O3,PM10,
lundi,25,10,2004,3,NO2,O3,
mardi,26,10,2004,4,NO2,,
mercredi,27,10,2004,3,NO2,,
jeudi,28,10,2004,2,NO2,O3,PM10
vendredi,29,10,2004,3,NO2,O3,
samedi,30,10,2004,4,PM10,,
dimanche,31,10,2004,2,NO2,O3,PM10
lundi,1,11,2004,3,PM10,,
mardi,2,11,2004,3,PM10,,
mercredi,3,11,2004,3,NO2,PM10,
jeudi,4,11,2004,4,PM10,,
vendredi,5,11,2004,3,NO2,PM10,
samedi,6,11,2004,3,NO2,PM10,
dimanche,7,11,2004,3,NO2,O3,PM10
lundi,8,11,2004,3,NO2,PM10,
mardi,9,11,2004,3,NO2,PM10,
mercredi,10,11,2004,3,NO2,,
jeudi,11,11,2004,2,NO2,O3,PM10
vendredi,12,11,2004,3,NO2,PM10,
samedi,13,11,2004,2,NO2,O3,PM10
dimanche,14,11,2004,3,NO2,O3,
lundi,15,11,2004,4,NO2,PM10,
mardi,16,11,2004,3,NO2,,
mercredi,17,11,2004,3,NO2,O3,
jeudi,18,11,2004,3,O3,,
vendredi,19,11,2004,3,NO2,O3,
samedi,20,11,2004,3,NO2,,
dimanche,21,11,2004,2,NO2,PM10,
lundi,22,11,2004,3,NO2,,
mardi,23,11,2004,3,NO2,PM10,
mercredi,24,11,2004,3,NO2,PM10,
jeudi,25,11,2004,4,PM10,,
vendredi,26,11,2004,3,PM10,,
samedi,27,11,2004,2,NO2,PM10,
dimanche,28,11,2004,2,NO2,O3,PM10
lundi,29,11,2004,2,NO2,PM10,
mardi,30,11,2004,3,NO2,PM10,
mercredi,1,12,2004,3,PM10,,
jeudi,2,12,2004,3,NO2,PM10,
vendredi,3,12,2004,3,NO2,PM10,
samedi,4,12,2004,3,NO2,PM10,
dimanche,5,12,2004,4,PM10,,
lundi,6,12,2004,4,NO2,PM10,
mardi,7,12,2004,3,NO2,,
mercredi,8,12,2004,3,NO2,PM10,
jeudi,9,12,2004,3,PM10,,
vendredi,10,12,2004,5,PM10,,
samedi,11,12,2004,2,NO2,PM10,
dimanche,12,12,2004,3,PM10,,
lundi,13,12,2004,4,PM10,,
mardi,14,12,2004,6,PM10,,
mercredi,15,12,2004,5,PM10,,
jeudi,16,12,2004,3,NO2,PM10,
vendredi,17,12,2004,3,NO2,O3,
samedi,18,12,2004,3,NO2,,
dimanche,19,12,2004,2,NO2,O3,PM10
lundi,20,12,2004,4,NO2,,
mardi,21,12,2004,5,PM10,,
mercredi,22,12,2004,3,NO2,,
jeudi,23,12,2004,3,NO2,O3,
vendredi,24,12,2004,3,O3,,
samedi,25,12,2004,3,NO2,O3,
dimanche,26,12,2004,2,NO2,O3,PM10
lundi,27,12,2004,3,NO2,,
mardi,28,12,2004,3,NO2,O3,
mercredi,29,12,2004,4,NO2,PM10,
jeudi,30,12,2004,3,NO2,,
vendredi,31,12,2004,2,NO2,O3,PM10
samedi,1,1,2005,3,NO2,O3,
dimanche,2,1,2005,3,O3,,
lundi,3,1,2005,3,NO2,PM10,
mardi,4,1,2005,3,NO2,,
mercredi,5,1,2005,3,NO2,,
jeudi,6,1,2005,3,NO2,O3,
vendredi,7,1,2005,3,O3,,
samedi,8,1,2005,3,NO2,,
dimanche,9,1,2005,2,NO2,O3,PM10
lundi,10,1,2005,2,NO2,O3,PM10
mardi,11,1,2005,2,NO2,O3,PM10
mercredi,12,1,2005,3,NO2,O3,PM10
jeudi,13,1,2005,4,NO2,PM10,
vendredi,14,1,2005,3,NO2,PM10,
samedi,15,1,2005,3,PM10,,
dimanche,16,1,2005,4,PM10,,
lundi,17,1,2005,3,NO2,,
mardi,18,1,2005,3,NO2,O3,
mercredi,19,1,2005,3,NO2,PM10,
jeudi,20,1,2005,3,O3,,
vendredi,21,1,2005,3,NO2,O3,
samedi,22,1,2005,3,NO2,O3,
dimanche,23,1,2005,3,NO2,O3,
lundi,24,1,2005,3,NO2,O3,
mardi,25,1,2005,3,NO2,,
mercredi,26,1,2005,2,NO2,O3,PM10
jeudi,27,1,2005,3,NO2,PM10,
vendredi,28,1,2005,3,NO2,,
samedi,29,1,2005,3,NO2,PM10,
dimanche,30,1,2005,3,NO2,PM10,
lundi,31,1,2005,3,NO2,,
mardi,1,2,2005,3,NO2,O3,
mercredi,2,2,2005,3,NO2,,
jeudi,3,2,2005,3,NO2,,
vendredi,4,2,2005,3,NO2,PM10,
samedi,5,2,2005,3,NO2,PM10,
dimanche,6,2,2005,3,NO2,PM10,
lundi,7,2,2005,5,PM10,,
mardi,8,2,2005,5,NO2,PM10,
mercredi,9,2,2005,5,NO2,,
jeudi,10,2,2005,3,NO2,,
vendredi,11,2,2005,3,NO2,O3,
samedi,12,2,2005,3,O3,,
dimanche,13,2,2005,3,O3,,
lundi,14,2,2005,3,NO2,O3,
mardi,15,2,2005,3,NO2,O3,
mercredi,16,2,2005,3,O3,PM10,
jeudi,17,2,2005,3,NO2,PM10,
vendredi,18,2,2005,4,PM10,,
samedi,19,2,2005,3,O3,,
dimanche,20,2,2005,2,NO2,O3,PM10
lundi,21,2,2005,3,NO2,O3,
mardi,22,2,2005,3,NO2,PM10,
mercredi,23,2,2005,3,NO2,PM10,
jeudi,24,2,2005,4,PM10,,
vendredi,25,2,2005,4,NO2,PM10,
samedi,26,2,2005,5,PM10,,
dimanche,27,2,2005,3,O3,,
lundi,28,2,2005,3,NO2,O3,
mardi,1,3,2005,3,NO2,O3,PM10
mercredi,2,3,2005,3,NO2,O3,
jeudi,3,3,2005,3,NO2,PM10,
vendredi,4,3,2005,3,NO2,O3,
samedi,5,3,2005,3,NO2,O3,
dimanche,6,3,2005,4,O3,,
lundi,7,3,2005,3,NO2,O3,PM10
mardi,8,3,2005,3,NO2,,
mercredi,9,3,2005,3,NO2,,
jeudi,10,3,2005,3,NO2,PM10,
vendredi,11,3,2005,3,NO2,O3,
samedi,12,3,2005,3,NO2,O3,
dimanche,13,3,2005,4,NO2,,
lundi,14,3,2005,6,NO2,,
mardi,15,3,2005,5,NO2,,
mercredi,16,3,2005,5,NO2,O3,
jeudi,17,3,2005,3,NO2,O3,PM10
vendredi,18,3,2005,5,PM10,,
samedi,19,3,2005,4,PM10,,
dimanche,20,3,2005,3,NO2,O3,
lundi,21,3,2005,4,NO2,,
mardi,22,3,2005,3,NO2,O3,PM10
mercredi,23,3,2005,4,O3,,
jeudi,24,3,2005,4,NO2,,
vendredi,25,3,2005,4,NO2,,
samedi,26,3,2005,4,NO2,,
dimanche,27,3,2005,3,NO2,O3,
lundi,28,3,2005,3,O3,,
mardi,29,3,2005,3,NO2,O3,
mercredi,30,3,2005,3,NO2,O3,
jeudi,31,3,2005,4,NO2,,
vendredi,1,4,2005,4,NO2,O3,PM10
samedi,2,4,2005,5,O3,,
dimanche,3,4,2005,5,O3,,
lundi,4,4,2005,3,NO2,O3,PM10
mardi,5,4,2005,4,O3,,
mercredi,6,4,2005,3,NO2,O3,
jeudi,7,4,2005,4,O3,,
vendredi,8,4,2005,3,O3,,
samedi,9,4,2005,4,O3,,
dimanche,10,4,2005,3,O3,,
lundi,11,4,2005,4,O3,,
mardi,12,4,2005,3,NO2,O3,PM10
mercredi,13,4,2005,3,NO2,O3,
jeudi,14,4,2005,3,NO2,O3,
vendredi,15,4,2005,3,NO2,O3,
samedi,16,4,2005,4,O3,,
dimanche,17,4,2005,4,O3,,
lundi,18,4,2005,4,O3,,
mardi,19,4,2005,3,NO2,O3,
mercredi,20,4,2005,3,NO2,O3,
jeudi,21,4,2005,4,NO2,,
vendredi,22,4,2005,4,NO2,O3,
samedi,23,4,2005,4,O3,,
dimanche,24,4,2005,3,NO2,O3,
lundi,25,4,2005,3,NO2,O3,
mardi,26,4,2005,3,O3,,
mercredi,27,4,2005,3,NO2,O3,
jeudi,28,4,2005,4,O3,,
vendredi,29,4,2005,3,NO2,O3,PM10
samedi,30,4,2005,5,O3,,
dimanche,1,5,2005,5,O3,,
lundi,2,5,2005,5,O3,,
mardi,3,5,2005,4,O3,,
mercredi,4,5,2005,3,O3,,
jeudi,5,5,2005,4,O3,,
vendredi,6,5,2005,4,O3,,
samedi,7,5,2005,4,O3,,
dimanche,8,5,2005,4,O3,,
lundi,9,5,2005,4,O3,,
mardi,10,5,2005,4,O3,,
mercredi,11,5,2005,4,O3,,
jeudi,12,5,2005,4,O3,,
vendredi,13,5,2005,3,NO2,O3,PM10
samedi,14,5,2005,2,NO2,O3,PM10
dimanche,15,5,2005,4,O3,,
lundi,16,5,2005,4,O3,,
mardi,17,5,2005,3,O3,,
mercredi,18,5,2005,4,O3,,
jeudi,19,5,2005,3,NO2,O3,
vendredi,20,5,2005,4,O3,,
samedi,21,5,2005,3,O3,,
dimanche,22,5,2005,4,O3,,
lundi,23,5,2005,3,NO2,O3,
mardi,24,5,2005,4,O3,,
mercredi,25,5,2005,5,O3,,
jeudi,26,5,2005,6,O3,,
vendredi,27,5,2005,7,O3,,
samedi,28,5,2005,4,O3,,
dimanche,29,5,2005,4,O3,,
lundi,30,5,2005,4,O3,,
mardi,31,5,2005,4,O3,,
mercredi,1,6,2005,4,O3,,
jeudi,2,6,2005,5,O3,,
vendredi,3,6,2005,4,O3,,
samedi,4,6,2005,3,O3,,
dimanche,5,6,2005,3,O3,,
lundi,6,6,2005,3,O3,,
mardi,7,6,2005,3,O3,PM10,
mercredi,8,6,2005,4,O3,,
jeudi,9,6,2005,4,O3,,
vendredi,10,6,2005,5,O3,,
samedi,11,6,2005,4,O3,,
dimanche,12,6,2005,5,O3,,
lundi,13,6,2005,4,O3,,
mardi,14,6,2005,5,O3,,
mercredi,15,6,2005,3,NO2,O3,PM10
jeudi,16,6,2005,4,O3,,
vendredi,17,6,2005,3,O3,PM10,
samedi,18,6,2005,4,O3,,
dimanche,19,6,2005,6,O3,,
lundi,20,6,2005,8,O3,,
mardi,21,6,2005,6,O3,,
mercredi,22,6,2005,7,O3,,
jeudi,23,6,2005,8,O3,,
vendredi,24,6,2005,7,O3,,
samedi,25,6,2005,7,O3,,
dimanche,26,6,2005,4,O3,,
lundi,27,6,2005,6,O3,,
mardi,28,6,2005,6,O3,,
mercredi,29,6,2005,5,O3,,
jeudi,30,6,2005,3,O3,,
vendredi,1,7,2005,2,NO2,O3,PM10
samedi,2,7,2005,3,O3,,
dimanche,3,7,2005,4,O3,,
lundi,4,7,2005,3,O3,,
mardi,5,7,2005,3,O3,,
mercredi,6,7,2005,3,O3,,
jeudi,7,7,2005,2,NO2,O3,PM10
vendredi,8,7,2005,2,NO2,O3,PM10
samedi,9,7,2005,4,O3,,
dimanche,10,7,2005,5,O3,,
lundi,11,7,2005,5,O3,,
mardi,12,7,2005,5,O3,,
mercredi,13,7,2005,6,O3,,
jeudi,14,7,2005,8,O3,,
vendredi,15,7,2005,8,O3,,
samedi,16,7,2005,5,O3,,
dimanche,17,7,2005,7,O3,,
lundi,18,7,2005,6,O3,,
mardi,19,7,2005,3,O3,,
mercredi,20,7,2005,3,O3,,
jeudi,21,7,2005,4,O3,,
vendredi,22,7,2005,4,O3,,
samedi,23,7,2005,4,O3,,
dimanche,24,7,2005,3,O3,,
lundi,25,7,2005,3,O3,,
mardi,26,7,2005,3,NO2,O3,
mercredi,27,7,2005,4,NO2,O3,
jeudi,28,7,2005,4,O3,,
vendredi,29,7,2005,4,O3,,
samedi,30,7,2005,4,O3,,
dimanche,31,7,2005,3,O3,,
lundi,1,8,2005,3,NO2,O3,
mardi,2,8,2005,4,O3,,
mercredi,3,8,2005,4,O3,,
jeudi,4,8,2005,3,O3,PM10,
vendredi,5,8,2005,3,NO2,O3,PM10
samedi,6,8,2005,3,O3,,
dimanche,7,8,2005,4,O3,,
lundi,8,8,2005,3,O3,PM10,
mardi,9,8,2005,4,O3,,
mercredi,10,8,2005,5,O3,,
jeudi,11,8,2005,4,O3,,
vendredi,12,8,2005,4,O3,,
samedi,13,8,2005,4,O3,,
dimanche,14,8,2005,3,O3,,
lundi,15,8,2005,3,O3,,
mardi,16,8,2005,4,O3,,
mercredi,17,8,2005,5,O3,,
jeudi,18,8,2005,6,O3,,
vendredi,19,8,2005,4,O3,,
samedi,20,8,2005,3,O3,,
dimanche,21,8,2005,3,O3,,
lundi,22,8,2005,4,O3,,
mardi,23,8,2005,3,O3,,
mercredi,24,8,2005,4,O3,,
jeudi,25,8,2005,3,O3,,
vendredi,26,8,2005,3,NO2,O3,
samedi,27,8,2005,4,O3,,
dimanche,28,8,2005,4,O3,,
lundi,29,8,2005,5,O3,,
mardi,30,8,2005,7,O3,,
mercredi,31,8,2005,6,O3,,
jeudi,1,9,2005,4,O3,,
vendredi,2,9,2005,4,O3,,
samedi,3,9,2005,5,O3,,
dimanche,4,9,2005,5,O3,,
lundi,5,9,2005,3,NO2,O3,PM10
mardi,6,9,2005,3,NO2,O3,
mercredi,7,9,2005,5,O3,,
jeudi,8,9,2005,5,O3,,
vendredi,9,9,2005,4,O3,,
samedi,10,9,2005,3,NO2,,
dimanche,11,9,2005,3,O3,,
lundi,12,9,2005,4,PM10,,
mardi,13,9,2005,3,NO2,O3,PM10
mercredi,14,9,2005,4,O3,,
jeudi,15,9,2005,2,NO2,O3,PM10
vendredi,16,9,2005,3,O3,,
samedi,17,9,2005,3,O3,,
dimanche,18,9,2005,4,O3,,
lundi,19,9,2005,4,NO2,O3,
mardi,20,9,2005,4,NO2,O3,PM10
mercredi,21,9,2005,4,NO2,O3,PM10
jeudi,22,9,2005,5,NO2,O3,
vendredi,23,9,2005,6,O3,,
samedi,24,9,2005,3,NO2,O3,
dimanche,25,9,2005,3,NO2,O3,
lundi,26,9,2005,3,NO2,O3,
mardi,27,9,2005,3,NO2,O3,
mercredi,28,9,2005,3,NO2,O3,
jeudi,29,9,2005,3,NO2,O3,
vendredi,30,9,2005,3,NO2,PM10,
samedi,1,10,2005,3,O3,,
dimanche,2,10,2005,2,NO2,O3,PM10
lundi,3,10,2005,3,NO2,,
mardi,4,10,2005,3,PM10,,
mercredi,5,10,2005,5,PM10,,
jeudi,6,10,2005,5,PM10,,
vendredi,7,10,2005,5,PM10,,
samedi,8,10,2005,4,NO2,PM10,
dimanche,9,10,2005,5,NO2,,
